bibtex_key;title;author;journal;year;source;pages;volume;abstract;keywords;descargado;doi;url;affiliation;author_keywords;;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
calabro_real_2019;Real Estate Landscapes and the Historic City: On How Looking Inside the Market;Gabrielli, Laura and Giuffrida, Salvatore and Trovato, Maria Rosa;;2019;;269--276;101;The real estate capital is one of the most resistant forms of theprocess through which the social surplus product was consolidated, makingpossible the phenomenon of cities as a gradual layering of the“traces”of asettled community. The complexity and complementarity between homogeneityof the urban fabrics and heterogeneity of the architectural shapes led to themultiplicity of functions that properties play, encouraging the expectations of theplayers of its enhancement process: administrations, owners, large and smallinvestors. This paper focuses on the interpretation of the urban pattern of thehistoric city through the analysis of the housing markets. The research deals withthe case study of the town of Syracuse, a multifaceted urban context fromseveral points of view. The formal and functional articulation of this real estatemarket justifies the use of different, layered and structured analysis tools toidentify sub-markets, deepening the relationship between value/price.;Real estate market, Complex urban context, Sub-marketsHard clustering,Fuzzy clustering;SI;10.1007/978-3-319-92102-0_29;http://link.springer.com/10.1007/978-3-319-92102-0_29;;;;Springer International Publishing;;;Series Title: Smart Innovation, Systems and Technologies;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
wang_impact_2015;Impact of urban landscape and environmental externalities on spatial differentiation of housing prices in {Yangzhou} {City};Wang, Yang and Zhao, Lingling and Sobkowiak, Leszek and Guan, Xingliang and Wang, Shaojian;J. Geogr. Sci.;2015;;1122--1136;25; In this study, housing prices data for residential quarters from the period 2001–2012 were  used  and  Global  Differentiation  Index  (GDI)  was  established  to  measure  the  overall  differentiation trend in housing prices in Yangzhou City, eastern China. Then the influence of the  natural  landscape  and  environment  on  prices  of  global  housing  market  and  housing  submarkets was evaluated by the hedonic price model. The results are shown as follows. (1) There  have  been  increasing  gaps  among  housing  prices  since  2001.  In  this  period,  the  dif-ferentiation trend has shown an upward fluctuation, which has been coupled with the annual growth rate of housing prices. (2) The spatial distribution of residential quarters of homoge-nous prices has changed from clustered in 2001 into dispersed in 2012. (3) Natural landscape and environmental externalities clearly influence spatial differentiation of housing prices. (4) In  different  housing  submarkets,  the  influence  of  natural  landscape  and  environmental  ex-ternalities  are  varied.  Natural  landscape  characteristics  have  significant  impact  on  housing  prices of ordinary commercial houses and indemnificatory houses, while the impact of envi-ronmental characteristics have obvious influence on housing prices of cottages and villas.;"housing  prices;  spatial  differentiation;  GDI  index;  hedonic  price  method;  natural  landscape;  envi-ronment; Yangzhou ";SI;10.1007/s11442-015-1223-6;http://link.springer.com/10.1007/s11442-015-1223-6;;;;;1009-637X, 1861-9568;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
zheng_creating_2013;Creating urban images through global flows: {Hong} {Kong} real estate developers in {Shanghai}’s urban redevelopment;Zheng, Jane;City, Culture and Society;2013;;65--76;4;The term ‘flow’ is used to conceptualize global connections in globalization. A butch of globalization the-ories devotes attention to the nature of global flows and their internal relationships. Global cities areoften viewed as nodes that passively convey and transmit flows. This article focuses on the role of ‘half-way’ nodes that circulate city images, and examines the activities of Hong Kong’s real estate developers inchanging Shanghai’s urban images from the 1990s onwards. It reveals the transformative role of thesedevelopers in the symbolic sphere of urban image making: from being subordinate to the urban designrequirements of the authority to their breaking away from the prescribed official framework and gainingthe edge in the state-developer interplay. This article contributes to globalization theories by arguing that‘halfway’ nodes are more likely to actively create, rather than passively pass on, ‘symbolic flows’ in Chinathrough the use of distinctive design languages. Also, this article proposes a new three stage conceptualframework that attempts to explain the process of circulating urban image;Urban imageChina’s urban studiesUrban redevelopment in ShanghaiHong Kong – Shanghai connectionHong Kong’s real estate developersGlobalization;SI;10.1016/j.ccs.2013.01.002;https://linkinghub.elsevier.com/retrieve/pii/S1877916613000167;;;;;18779166;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
giveki_new_2018;A New Neural Network Classifier Based on Atanassov’s Intuitionistic Fuzzy Set Theory;Giveki, Davar and Rastegar, Homayoun and Karami, Maryam;Opt. Mem. Neural Networks;2018;;170--182;27;This  paper  proposes  a  new  framework  for  training  radial  basis  function  neural  networks(RBFNN). Determination of the centers of the Gaussian functions in the hidden layer of RBF neuralnetwork highly affects the performance of the network. This paper presents a novel radial basis func-tion using fuzzy C-means clustering algorithm based on Atanassov’s intuitionistic fuzzy set (A-IFS)theory. The A-IFS theory takes into account another uncertainty parameter which is the hesitationdegree that arises while defining the membership function and therefore, the cluster centers convergeto  more  desirable  locations  than  the  cluster  centers  obtained  using  traditional  fuzzy  C-means  algo-rithm. Furthermore, we make use of a new objective function obtained by Atanassov’s intuitionisticfuzzy entropy. This objective function is incorporated in the traditional fuzzy C-means clustering algo-rithm to maximize the good points in the class. The proposed method is used to improve the function-ality of the Optimum Steepest Descent (OSD) learning algorithm. Adjusting RBF units in the networkwith great accuracy will result in better performance in fewer train iterations, which is essential whenfast retraining of the network is needed, especially in the real-time systems. We compare the proposedAtanassov’s  intuitionistic  radial  basis  function  neural  network  (A-IRBFNN)  with  fuzzy  C-meanradial  basis  function  neural  network  (FCMRBFNN)  while  both  methods  use  OSD  learning  algo-rithm. Furthermore, the proposed A-IRBFNN is compared with other powerful fuzzy-based radialbasis function neural network. Experimental results on Proben1 dataset and demonstrate the superi-ority of the proposed A-IRBFNN.;Atanassov’s intuitionistic fuzzy set theory, fuzzy C-means, radial basis function neural net-works, optimum steepest descent learning;SI;10.3103/S1060992X18030062;http://link.springer.com/10.3103/S1060992X18030062;;;;;1060-992X, 1934-7898;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
trovato_people_2020;People and the {City}: {Urban} {Fragility} and the {Real} {Estate}-{Scape} in a {Neighborhood} of {Catania}, {Italy};Trovato, Maria Rosa and Clienti, Claudia and Giuffrida, Salvatore;Sustainability;2020;;5409;12;"Urban/social fragility is the main focus of most studies on civil economy involving the commitment of politics in the prospect of integrating and somehow guiding an ordered development of and ordered communities. The contemporary city is strongly influenced by the incommunicability between the social system and environment, the latter more and more, including urban and societal components. This study tries to outline a comparative social-urban profile of Picanello, a popular central neighborhood of Catania, in Sicily, Italy, characterized by the combination of different urban and social life-quality levels, thus expressing a heterogeneous vulnerability/resilience profile. The analysis is placed in the urban planning context and aims to: (1) Denotative a pattern that considers the different fragility/resilience descriptive indices; and (2) connotative a pattern of the human and urban dimensions of the social capital asset. This analysis was performed by implementing a multidimensional pattern allowing us to place the neighborhood in a ranking of the neighborhoods of Catania, thus highlighting strength and weakness under different respects. Furthermore, the monetary measurements of this vulnerability/resilience profile, was carried by means of the structured observation of the real estate market. Fuzzy k-medoids cluster analyses have been comparatively performed—showing and mapping the relationships between urban value density and real estate market prices tensions.";"“age of changes”; social-urban fragility; human capital; urban capital; real estate-scape;housing submarkets; cluster-medoids analysis";SI;10.3390/su12135409;https://www.mdpi.com/2071-1050/12/13/5409;;;;;2071-1050;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
han_enhancement_2018;Enhancement of Prediction Accuracy for Home Sales Index Prediction Model based on Integration of Multiple Regression Analysis and Genetic Algorithm ;Han, Seungwoo and Ko, Yongho and Kim, Jung-Yeol and Shin, Do Hyoung;KSCE J Civ Eng;2018;;2159--2166;22;The Home Sales Index (HSI) is considered one of the most crucial factors for predicting economic trends in the real estate andconstruction industries. Accordingly, numerous studies have investigated the precise estimation and prediction of the HSI. However,previous studies have shown limitations in collecting valuable data that can be used for such estimations and predictions. Severalstudies have shown that web search data have a significant relationship with various social trends, including the HSI. The goal of thisstudy is to analyze the relationship between the HSI and feasible web search data and suggest an HSI prediction model based on theresults. Our analysis includes a method for enhancing the prediction accuracy using principal component analysis. The varimaxrotation method is used to find significant factors, and a genetic algorithm is used for optimization. Our results demonstrate that theprediction accuracy of the proposed model is enhanced compared to previous studies, and its capability is increased for practical fieldapplications.;home sales index, web search data, prediction accuracy, varimax rotation, genetic algorithm;SI;10.1007/s12205-017-1648-9;http://link.springer.com/10.1007/s12205-017-1648-9;;;;;1226-7988, 1976-3808;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
helbich_suburban_2015;Do suburban areas impact house prices?;Helbich, Marco;Environ Plann B Plann Des;2015;;431--449;42;Urban fringes are frequently occupied by a particular socioeconomic group of households, who have a certain demand on real-estate markets. Consequently, it is advisable to model the suburban housing market in hedonic studies. The operationalization of suburbia is challenged by its inherent vagueness, specifically, its continuous merging with rural areas and its potentially fragmented spatial pattern. Investigating the urban fringe of Vienna, Austria, this research proposes a suburban taxonomy based on fuzzy clustering and a spatially explicit, nonlinear hedonic pricing model to determine the marginal price of suburbia on single-family homes. The clustering result suggests that suburban municipalities are increasingly located next to the main traffic arterials in the immediate proximity of the core city. The hedonic regression confirms a stratification of the housing market. Furthermore, a local intra-submarket in the south of the core city is evident, referring to an additional locational asset. Suburbia has a significant effect on housing prices and reflects a self-contained housing market, albeit one which is economically interrelated with other submarkets. It is concluded that suburbanites implicitly value such neighborhoods and are willing to pay a premium to live in like-minded communities.;suburbanization, housing, submarkets, fuzzy clustering, generalized additive models, Vienna (Austria);SI;10.1068/b120023p;http://journals.sagepub.com/doi/10.1068/b120023p;;;;;0265-8135, 1472-3417;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
kusan_use_2010;The use of fuzzy logic in predicting house selling price;Ku?an, Hakan and Aytekin, Osman and Özdemir, ?lker;Expert Systems with Applications;2010;;1808--1813;37;In this paper, a new grading model has been developed for prediction of the selling price of house-build-ing. Fuzzy logic systems, considering the city plans, the nearness to cultural, medical, training and edu-cational buildings, the public transportations systems, the other environmental factors and the increasedtechnological upgrading deals with information about construction, have been employed in order to con-struct the model and achieve the aim. Such factors are used as the inputs. Besides, a questionnaire appli-cation including these factors has been applied to determine the values of fuzzy training and testing sets.In this way, the constructed model has been applied to the prediction of selling prices of houses located indifferent regions of Eskisßehir city in Turkey. The predicted values and real selling prices determined byselling market have been compared with each other. Consequently, real selling price of house-buildinghas shown variety with respect to the regional aspects and salesmen. The suggested fuzzy logic modelcan be capable and usable for similar applications.;Fuzzy logicHouse priceLocal aspectsPrediction modelReal estate marke;SI;10.1016/j.eswa.2009.07.031;https://linkinghub.elsevier.com/retrieve/pii/S0957417409006885;;;;;09574174;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
von_wirth_identifying_2014;Identifying urban transformation dynamics: Functional use of scenario techniques to integrate knowledge from science and practice;von Wirth, Timo and Wissen Hayek, Ulrike and Kunze, Antje and Neuenschwander, Noemi and Stauffacher, Michael and Scholz, Roland W.;Technological Forecasting and Social Change;2014;;115--130;89;Many urban regions are exposed to rapid growth, leading to vast changes in land use withdiverse ecological, socio-economic, and aesthetical impacts. Regional scenarios are suitable foridentifying possible urban development patterns. However, one challenge of scenarioconstruction is integrating the knowledge of both science and practice for a better understandingof the complex interactions between impact factors in the urban fabric.The objective of this research is to enhance process design for a collaborative scenario analysisin the context of urban development. The scenarios are constructed for a case study of theLimmattal region, a suburban agglomeration close to Zurich, Switzerland, and we demonstratea functional structure for science–practice collaboration within the process of scenariobuilding. The types of communication between science and practice are systematically varied,which leads to four consistent scenarios for 2030.Our analyses of regional system dynamics reveal the most important feedback loop among fiveimpact factors within the region, which allows for a better understanding of the systemicinteractions in regional transformation. This process design shows the potential to supportknowledge integration in research processes involving science and practice, and assistsinformed planning strategies for urban transformation.;Formative scenario analysis (FSA)Urban system transformationFeedback loopScience–practice collaborationKnowledge integrationRegional dynamics;SI;10.1016/j.techfore.2013.08.030;https://linkinghub.elsevier.com/retrieve/pii/S0040162513002151;;;;;00401625;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
demidova_attractors_2017;Attractors in the development problem of the forecasting model on the base of the strictly binary trees;Demidova, Liliya and Elena, Zhdankina and Olga, Krylova and Vera, Reshetova and Evgeny, Sofyin;Procedia Computer Science;2017;;214--221;103;In this  paper  the  questions  of  the  choice  of  the  training  data  sequence  for  the  forecasting  model  on  the  base  of  the  strictly binary trees which is usually applied to time series with a short length of actual part (about 15 – 30 elements) have been considered. It is offered to use the principles of the attractors’ forming in the presence of the long time series  that    will  allow  creating  the  training  data  sequence  more  reasonably.  The  reviewed  examples  confirm  the  efficiency  of  theattractors’ use in sense of minimization of the affinity indicator of the forecasting model, and also the forecasting errors on 1 –   5 steps forward. Besides, the minimization of time expenditures on development of the forecasting model is provided.;"time series; forecasting model; strictly binary tree; modified clonal selection algorithm; attractor";SI;10.1016/j.procs.2017.01.068;https://linkinghub.elsevier.com/retrieve/pii/S1877050917300698;;;;;18770509;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
